#b5b6	p3_p4	b1_4	g	Gr	r	t	u2	u3	y1_y2	y3_y4	code	status
1.819	0.9949	3.6422	3.0339	1.7943	3.4977	2.0928	0.8916	0.8612	1.7706	1.9387	0	OK
1.7535	1.0236	3.5529	2.9541	1.8599	3.388	1.9631	0.8923	0.8825	1.784	1.8573	0	OK
1.765	0.9886	3.5666	2.9569	1.8151	3.3364	2.048	0.8879	0.9124	1.7768	1.8674	0	OK
1.7518	1.0525	3.5431	3.0439	1.8184	3.5006	2.13	0.8908	0.8646	1.7516	1.8828	0	OK
1.7031	1.0708	3.58	3.089	1.8025	3.5003	2.0806	0.8885	0.8496	1.8052	1.855	0	OK
1.747	1.0675	3.6608	3.0804	1.8038	3.5367	1.9862	0.9413	0.8916	1.8294	1.8214	0	OK
1.7287	1.0174	3.6051	3.0336	1.7936	3.4102	2.0781	0.8901	0.893	1.759	1.8458	0	OK
1.7993	1.0003	3.6898	3.0393	1.9112	3.5662	1.8814	0.9351	0.8273	1.8802	1.8411	0	OK
1.9406	1.0635	3.859	3.079	1.92	3.9247	2.0019	0.9656	0.9134	1.9293	1.9157	0	OK
1.9534	0.9583	3.9013	2.7884	1.9299	3.6773	1.9214	1.0135	0.9613	1.9391	1.9383	0	OK
1.9416	1.0487	3.9072	2.9241	1.9492	3.9896	2.0371	0.9873	0.9372	1.9424	1.9323	0	OK
1.905	1.0403	3.8187	2.8834	1.9758	3.6898	1.9676	0.959	0.994	1.937	1.8901	0	OK
1.9751	0.9741	4.0027	2.9422	1.9567	3.7442	1.9453	0.9491	0.92	1.9558	1.8659	0	OK
1.9101	1.0652	3.8442	3.2055	1.8805	3.8992	2.0916	0.9414	0.9536	1.9097	1.9074	0	OK
1.993	0.966	3.9738	2.9689	1.9899	3.7053	1.9544	0.9813	0.978	1.9709	1.8822	0	OK
1.8839	0.9678	3.8983	2.921	1.8793	3.6738	1.9437	0.9258	0.931	1.9429	1.8873	0	OK
1.781	1.0346	3.5663	3.3458	1.8075	3.4434	2.5626	0.8941	0.8321	1.7181	1.9885	0	OK
1.9544	0.9652	3.9116	2.9137	1.9319	3.7512	1.9207	0.9704	0.9298	1.9786	1.9227	0	OK
1.9389	0.9839	3.8688	2.8859	1.951	3.7213	1.9616	0.9613	1.0158	1.9198	1.9094	0	OK
